Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
8,X650,JANE ADDAMS VOC HS - X,SCA CIP,DAMAGED EXTERIOR WALLS/ROOFS/PARAPETS,Construction,Complete,7/22/2013,7/21/2015,9/10/2015,9444095,8890977,"$8,504,318.00 ","DSF: 0000022397, 0000774535, 0000774536"
8,X650,JANE ADDAMS VOC HS - X,SCA CIP,DAMAGED EXTERIOR WALLS/ROOFS/PARAPETS,"CM, F&E",Complete,7/22/2013,7/21/2015,9/10/2015,887721,479580,"$470,508.00 ","DSF: 0000022397, 0000774535, 0000774536"
8,X650,JANE ADDAMS VOC HS - X,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,8/10/2015,8/10/2015,8/10/2015,11611,491,$491.00 ,DSF: 0000797270
8,X650,JANE ADDAMS VOC HS - X,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,8/10/2015,12/10/2015,10/8/2015,32897,1963,"$1,963.00 ",DSF: 0000797270
8,X650,JANE ADDAMS VOC HS - X,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,PNS,PNS,PNS,PNS,443146,443146,"$1,826.00 ",DSF: 0000797270
8,X650,JANE ADDAMS VOC HS - X,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",PNS,PNS,PNS,PNS,85146,85146,"$2,242.00 ",DSF: 0000797270
8,X650,H.S. 559 - BRONX,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / PART,Scope,PNS,PNS,PNS,PNS,0,0,$0.00 ,DSF: 0000822711
8,X650,H.S. 559 - BRONX,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / PART,Design,PNS,PNS,PNS,PNS,30000,30000,$0.00 ,DSF: 0000822711
8,X650,H.S. 559 - BRONX,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,440000,440000,$0.00 ,DSF: 0000822711
8,X650,H.S. 559 - BRONX,SCA CIP RESOA,FY16 RESO A ROOM CONVERSIONS / PART,"CM, F&E",PNS,PNS,PNS,PNS,30000,30000,$0.00 ,DSF: 0000822711
8,X650,H.S. 559 - BRONX,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,24249,$0.00 ,DSF: 0000777206
8,X730,BX CHARTER SCH FOR THE ARTS -,DIIT - RESOA,FY15 RESO A TECHNOLOGY,Purch & Install,Complete,5/5/2015,5/27/2015,7/17/2015,175000,173238,"$173,238.00 ",DSF: 0000800997
8,X848,P.S. 48 - BRONX,SCA CIP,WINDOWS/PARAPETS/ROOFS,Scope,Complete,7/26/2013,12/12/2013,8/19/2013,32340,38775,"$38,126.00 ","DSF: 0000774687, 0000774688, 0000798241"
8,X848,P.S. 48 - BRONX,SCA CIP,WINDOWS/PARAPETS/ROOFS,Design,Complete,9/12/2013,2/18/2014,11/19/2013,91630,101857,"$101,857.00 ","DSF: 0000774687, 0000774688, 0000798241"
8,X848,P.S. 48 - BRONX,SCA CIP,WINDOWS/PARAPETS/ROOFS,Construction,Complete,7/28/2014,7/27/2015,7/27/2015,1234311,1128447,"$1,070,227.00 ","DSF: 0000774687, 0000774688, 0000798241"
8,X848,P.S. 48 - BRONX,SCA CIP,WINDOWS/PARAPETS/ROOFS,"CM, F&E",Complete,7/28/2014,7/27/2015,7/27/2015,237160,85984,"$85,984.00 ","DSF: 0000774687, 0000774688, 0000798241"
8,X848,P.S. 48 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Scope,Complete,7/11/2014,7/11/2014,7/11/2014,28774,7344,"$7,344.00 ",DSF: 0000797422
8,X848,P.S. 48 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Design,Complete,7/11/2014,11/12/2014,9/9/2014,81527,15147,"$15,147.00 ",DSF: 0000797422
8,X848,P.S. 48 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,Construction,Complete,12/8/2014,9/3/2015,8/27/2015,1098215,1067044,"$1,009,203.00 ",DSF: 0000797422
8,X848,P.S. 48 - BRONX,RCT CIP,ELECTRICAL LIGHTING FIXTURES,"CM, F&E",Complete,12/8/2014,9/3/2015,8/27/2015,211011,41631,"$41,631.00 ",DSF: 0000797422
8,X972,BRONX ARENA HIGH SCHOOL - BRON,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,6/24/2013,12/31/2013,,DIIT,10664,$0.00 ,DSF: 0000777215
9,X002,M.S./H.S. 250 - BRONX,SCA CIP,MASONRY/ROOFS/PARAPETS,Scope,Complete,4/5/2013,8/20/2013,10/28/2013,64005,97317,"$93,371.00 ","DSF: 0000025434, 0000793640, 0000793641"
9,X002,M.S./H.S. 250 - BRONX,SCA CIP,MASONRY/ROOFS/PARAPETS,Design,Complete,12/4/2013,5/7/2014,5/13/2014,256019,239799,"$223,137.00 ","DSF: 0000025434, 0000793640, 0000793641"
9,X002,M.S./H.S. 250 - BRONX,SCA CIP,MASONRY/ROOFS/PARAPETS,Construction,In-Progress,7/28/2014,4/17/2016,,4800375,4564627,"$3,042,068.00 ","DSF: 0000025434, 0000793640, 0000793641"
9,X002,M.S./H.S. 250 - BRONX,SCA CIP,MASONRY/ROOFS/PARAPETS,"CM, F&E",In-Progress,7/28/2014,4/17/2016,,298690,427182,"$426,312.00 ","DSF: 0000025434, 0000793640, 0000793641"
9,X002,BRONX CNTR FOR SCIENCE & MATH,SCA CIP,ELECTRICAL SYSTEMS,Scope,Complete,8/5/2014,12/8/2014,10/27/2014,29910,15202,"$15,202.00 ",DSF: 0000793643
9,X002,BRONX CNTR FOR SCIENCE & MATH,SCA CIP,ELECTRICAL SYSTEMS,Design,Complete,10/29/2014,4/3/2015,3/13/2015,84745,64357,"$48,912.00 ",DSF: 0000793643
